YEAR,VALUE,COUNTRY,HS CODE
2015,,Antigua Barbuda,"9306900080--PARTS FOR BOMBS, GRENADES, & SIML MUNITIONS OF WAR"
2015,,Argentina,"8411224050--TURBOPROPELLER A/C TBN EXCEPT CIVIL, OV 1100 KW"
2015,,Argentina,"8411824050--GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW"
2015,,Argentina,8710000030--TRACKED (INCLUDING HALF-TRACKED) VEHICLES
2015,,Argentina,"8802120160--USED/REBUILT HELICOP,MILITARY,WGT > 2,000 KG"
2015,,Argentina,"8802300120--NEW MILITARY AIRCRFT,NOT FIGHTERS (2000-15000 KG)"
2015,,Argentina,"8802400180--USED OR REBUILT MILITARY AIRCRAFT,WGT GT 15000KG"
2015,,Argentina,8805210000--AIR COMBAT SIMULATORS  AND PARTS THEREOF
2015,,Argentina,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Argentina,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Argentina,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Argentina,"8807909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Argentina,"9301100080--ARTILLERY WEAPONS, MILITARY, EXC SELF-PROPELLED"
2015,,Argentina,"9301200000--ROCKET LAUNCHERS & SIMILAR PROJECTORS, MILITARY"
2015,,Argentina,9301906000--MILITARY SHOTGUNS
2015,,Argentina,"9301909030--MACHINE GUNS, MILITARY"
2015,,Argentina,"9301909090--MILITARY WEAPONS, EXC ARMS OF HEADING 9307, NESOI"
2015,,Argentina,9305913020--SUPPRESSORS OF OTHER MIL WEAPONS HEAD 9301 NESOI
2015,,Argentina,9305913040--PARTS & ACCES OF OTHER MLTRY WEAPONS OF 9301 NESOI
2015,,Argentina,9306304140--EMPTY CARTRIDGES SHELLS FOR RIFLES OR PISTOLS
2015,,Argentina,"9307000000--SWORDS, CUTLASSES, BAYONETS, & SIML ARMS & PARTS"
2015,,Argentina,9803100000--MILITARY WEARING APPAREL OF ALL TYPES & MATERIALS
2015,,Armenia,. DEFENSE (END USE 50000-90)
2015,,Armenia,8409100080--PARTS FOR SP-IG OR COMP-IG FOR USE IN A/C EX CIVIL
2015,,Armenia,"8411917050--PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL"
2015,,Armenia,8803200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Armenia,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Armenia,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Armenia,"9014208080--INST & APPLN, AERONAUTICAL/SPACE NAVIGATION, NESOI"
2015,,Armenia,9305911000--PARTS AND ACCESS FOR MILITARY RIFLES
2015,,Armenia,"9306304120--CARTRIDGES FOR RIFLE OR PISTOLS, NESOI"
2015,,Armenia,"9306900040--BOMBS, GRENADES, TORPEDOS, & SIML MUNITIONS OF WAR"
2015,,Armenia,9803200000--MILITARY EQUIPMENTS NOT IDENTIFIED BY KIND
2015,,Aruba,"8411997050--PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C"
2015,,Aruba,"8710000060--ARMORED FIGHTING VEH,MOTORIZED,NESOI"
2015,,Aruba,"8710000090--PARTS OF ARMORED FIGHTING VEHICLES,MOTORIZED"
2015,,Aruba,8803200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Aruba,8804000000--PARACHUTES(ALSO DIRIGIBLE CHUTES)&ROTOCHUTES&PRTS
2015,,Aruba,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
